dataset_name,identifier,directory
2020-DiversityOne-Asunción-User Presence,004.AAAD.AAD.BZ,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Device-usage/userpresence.parquet
2020-DiversityOne-Asunción-Wifi,004.AAAD.AAD.AN,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Connectivity/wifi.parquet
2020-DiversityOne-Asunción-Wifi Networks,004.AAAD.AAD.AO,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Asuncion_PY/Sensors/Connectivity/wifinetworks.parquet
2020-DiversityOne-Copenhagen-Accelerometer,004.AAAD.AAC.AY,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Copenhagen_DK/Sensors/Motion/accelerometer.parquet
2020-DiversityOne-Copenhagen-Activities,004.AAAD.AAC.CF,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Copenhagen_DK/Sensors/Motion/activities.parquet
2020-DiversityOne-Copenhagen-Airplane Mode,004.AAAD.AAC.BS,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Copenhagen_DK/Sensors/Device-usage/airplanemode.parquet
2020-DiversityOne-Copenhagen-Application,004.AAAD.AAC.AG,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Copenhagen_DK/Sensors/App-usage/application.parquet
2020-DiversityOne-Copenhagen-Battery Charge,004.AAAD.AAC.BT,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Copenhagen_DK/Sensors/Device-usage/batterycharge.parquet
2020-DiversityOne-Copenhagen-Battery Monitoring Log,004.AAAD.AAC.BU,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Copenhagen_DK/Sensors/Device-usage/batterymonitoringlog.parquet
2020-DiversityOne-Copenhagen-Bluetooth,004.AAAD.AAC.CE,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Copenhagen_DK/Sensors/Connectivity/bluetooth.parquet
